Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings,F,I,M,Length_discretized,Diameter_discretized,Height_discretized,Whole weight_discretized,Shucked weight_discretized,Viscera weight_discretized,Shell weight_discretized,Rings_discretized,Length_z_score,Diameter_z_score,Height_z_score,Whole weight_z_score,Shucked weight_z_score,Viscera weight_z_score,Shell weight_z_score,Rings_z_score,prediction
F,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,13,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(11.0, 29.0]",1.4920983904055796,1.4166782175532022,1.4178087149725231,1.7732183878753964,1.210028234991743,2.0777350182463086,1.780448709946361,0.9402747291485484,9
F,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,16,1,0,0,"(0.45, 0.545]","(0.425, 0.48]","(0.14, 0.165]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(11.0, 29.0]",0.11557729405813084,0.6592351227498564,0.3514326339533595,0.7717305787912635,0.7503563746842082,1.13371952966231,0.7060997254630752,1.8719409182487787,9
F,0.575,0.445,0.135,0.883,0.381,0.2035,0.26,11,1,0,0,"(0.545, 0.615]","(0.425, 0.48]","(0.115, 0.14]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.234, 0.329]","(9.0, 11.0]",0.40756661752577095,0.35625788482851856,-0.12251229094404618,0.09254899862050106,0.07990814916248692,0.18970404107831082,0.13311360040532258,0.3191639364150615,9
M,0.355,0.29,0.09,0.3275,0.134,0.086,0.09,9,0,0,1,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(8.0, 9.0]",-1.427794844270828,-1.2091245110983952,-1.1888883719632097,-1.0370479109150033,-1.0277889190907918,-0.8768519195814957,-1.0844819153424017,-0.3019468563184254,9
F,0.45,0.335,0.105,0.425,0.1865,0.091,0.115,9,1,0,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.186, 0.336]","(-0.0005, 0.0934]","(0.0005, 0.13]","(8.0, 9.0]",-0.6352523948586599,-0.7546586542163877,-0.8334296782901554,-0.8387838268831191,-0.7923472345430302,-0.8314665595534187,-0.905423751261854,-0.3019468563184254,9
F,0.55,0.425,0.135,0.8515,0.362,0.196,0.27,14,1,0,0,"(0.545, 0.615]","(0.35, 0.425]","(0.115, 0.14]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.234, 0.329]","(11.0, 29.0]",0.19900281504888542,0.15427305954762632,-0.12251229094404618,0.028494448394815446,-0.0052993176262269145,0.1216260010361957,0.2047368660375417,1.2508301255152918,9
I,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,5,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-2.3871883356645047,-2.3705372564635248,-2.255264452982373,-1.560668440537672,-1.4874607793983268,-1.4441689199324566,-1.5858447747679352,-1.5441684417853991,9
I,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,5,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-2.6791776591321455,-2.6230182880646398,-2.0182919905336703,-1.6176058185160591,-1.5143684004894993,-1.5213240319801875,-1.6431433872737102,-1.5441684417853991,9
I,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,4,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-2.637464898636768,-2.6230182880646398,-2.1367782217580213,-1.6176058185160591,-1.550245228611063,-1.5440167119942256,-1.6216564075840445,-1.8547238381521427,9
I,0.39,0.295,0.095,0.203,0.0875,0.045,0.075,7,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.1358055208031868,-1.1586283047781722,-1.0704021407388582,-1.2902158951403326,-1.2363229825473807,-1.2490118718117258,-1.1919168137907301,-0.9230576490519122,9
M,0.47,0.37,0.12,0.5795,0.293,0.227,0.14,9,0,0,1,"(0.45, 0.545]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.171, 0.253]","(0.13, 0.234]","(8.0, 9.0]",-0.4684013528771512,-0.4011852099748268,-0.4779709846171009,-0.524611509109518,-0.31473696017471375,0.40301523321027233,-0.7263655871813062,-0.3019468563184254,9
I,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,6,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.6780714072430911,-1.6635903679804023,-1.6628332968606154,-1.3756219621079133,-1.2901382247297264,-1.4260147759212258,-1.4067866106873876,-1.2336130454186558,9
F,0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,9,1,0,0,"(0.45, 0.545]","(0.35, 0.425]","(0.14, 0.165]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.234, 0.329]","(8.0, 9.0]",-0.009560987428001022,0.15427305954762632,0.46991886517771103,-0.004041196164263018,-0.0389338439901929,0.2804747611344646,0.025678701956993875,-0.3019468563184254,9
I,0.52,0.41,0.12,0.595,0.2385,0.111,0.19,8,0,1,0,"(0.45, 0.545]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(0.999, 8.0]",-0.05127374792337831,0.0027844405869571418,-0.4779709846171009,-0.49309260344291084,-0.5591478517528663,-0.6499251194411112,-0.36824925902021094,-0.6125022526851688,9
M,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,7,0,0,1,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.0523799998124324,-0.9061472731770569,-1.0704021407388582,-1.086868116646092,-1.0300312208483897,-1.1128557917274955,-1.0128586497101826,-0.9230576490519122,9
M,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,10,0,0,1,"(0.45, 0.545]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(9.0, 11.0]",-0.3432630713910193,-0.5021776226152729,-0.24099852216839776,-0.6018836649373294,-0.4649711779337616,-0.7860811995253418,-0.5831190559168682,0.008608540048318068,9
F,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10,1,0,0,"(0.45, 0.545]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(9.0, 11.0]",-0.4684013528771512,-0.5021776226152729,-0.4779709846171009,-0.7320262431736431,-0.6847167501783392,-0.6998490154719959,-0.6547423215490873,0.008608540048318068,9
M,0.405,0.31,0.1,0.385,0.173,0.0915,0.11,7,0,0,1,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.010667239317055,-1.007139685817503,-0.9519159095145066,-0.9201229382808153,-0.852889381998169,-0.8269280235506111,-0.9412353840779636,-0.9230576490519122,9
F,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,8,1,0,0,"(0.45, 0.545]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.171, 0.253]","(0.13, 0.234]","(0.999, 8.0]",-0.21812478990488746,-0.09820797205348843,-0.004026059719694606,-0.35786633074424107,-0.47842498847934795,-0.06445397507891966,-0.15337946212355374,-0.6125022526851688,9
M,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,8,0,0,1,"(0.074, 0.45]","(0.054, 0.35]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(0.999, 8.0]",-0.6769651553540371,-0.603170035255719,-0.4779709846171009,-0.8031979656466272,-0.7676819152094552,-0.7906197355281496,-0.7621772199974157,-0.6125022526851688,9
M,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,8,0,0,1,"(0.45, 0.545]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(0.999, 8.0]",-0.4684013528771512,-0.24969659101415762,-0.12251229094404618,-0.504276731260094,-0.38873291817543865,-0.568231471390573,-0.511495790284649,-0.6125022526851688,9
I,0.245,0.19,0.06,0.086,0.042,0.014,0.025,4,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-2.3454755751691274,-2.2190486375028553,-1.8998057593093185,-1.5281327959785935,-1.4403724424887745,-1.5304011039858025,-1.5500331419518256,-1.8547238381521427,9
F,0.505,0.4,0.125,0.583,0.246,0.13,0.175,7,1,0,0,"(0.45, 0.545]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(0.999, 8.0]",-0.17641202940951017,-0.09820797205348843,-0.3594847533927493,-0.5174943368622197,-0.5255133253889004,-0.47746075133441906,-0.47568415746853965,-0.9230576490519122,9
M,0.505,0.405,0.11,0.625,0.305,0.16,0.175,9,0,0,1,"(0.45, 0.545]","(0.35, 0.425]","(-0.001, 0.115]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(8.0, 9.0]",-0.17641202940951017,-0.04771176573326536,-0.7149434470658038,-0.4320882698946387,-0.2609217179923682,-0.20514859116595785,-0.47568415746853965,-0.3019468563184254,9
F,0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,10,1,0,0,"(0.45, 0.545]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.171, 0.253]","(0.13, 0.234]","(9.0, 11.0]",0.032151773067376266,0.0027844405869571418,-0.24099852216839776,-0.2866946082712569,-0.27437552853795455,0.09893332102215724,-0.29662599338799184,0.008608540048318068,9
M,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,7,0,0,1,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-0.8438161973355462,-0.8556510668568338,-1.0704021407388582,-0.9333405438829409,-0.8641008907861576,-0.9313143516151878,-1.0128586497101826,-0.9230576490519122,9
M,0.52,0.4,0.12,0.58,0.234,0.1315,0.185,8,0,0,1,"(0.45, 0.545]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(0.999, 8.0]",-0.05127374792337831,-0.09820797205348843,-0.4779709846171009,-0.5235947702170469,-0.5793285675712458,-0.463845143325996,-0.4040608918363205,-0.6125022526851688,9
M,0.475,0.355,0.12,0.48,0.234,0.1015,0.135,8,0,0,1,"(0.45, 0.545]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(0.999, 8.0]",-0.42668859238177387,-0.552673828935496,-0.4779709846171009,-0.726942548711287,-0.5793285675712458,-0.7361573034944573,-0.7621772199974157,-0.6125022526851688,9
F,0.565,0.44,0.16,0.915,0.354,0.1935,0.32,12,1,0,0,"(0.545, 0.615]","(0.425, 0.48]","(0.14, 0.165]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.234, 0.329]","(11.0, 29.0]",0.3241410965350163,0.3057616785082955,0.46991886517771103,0.157620287738658,-0.04117614574779063,0.09893332102215724,0.562853194198637,0.6297193327818049,9
F,0.595,0.495,0.185,1.285,0.416,0.224,0.485,13,1,0,0,"(0.545, 0.615]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.336, 0.502]","(0.171, 0.253]","(0.329, 1.005]","(11.0, 29.0]",0.5744176595072801,0.8612199480307486,1.0623500212994683,0.9100070681673466,0.23686927219432793,0.3757840171934262,1.7446370771302515,0.9402747291485484,9
I,0.31,0.235,0.07,0.151,0.063,0.0405,0.045,6,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.803209688729223,-1.7645827806208483,-1.6628332968606154,-1.3959567399573374,-1.3461957686696697,-1.289858695836995,-1.4067866106873876,-1.2336130454186558,9
M,0.555,0.425,0.13,0.7665,0.264,0.168,0.275,13,0,0,1,"(0.545, 0.615]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.234, 0.329]","(11.0, 29.0]",0.2407155755442627,0.15427305954762632,-0.24099852216839776,-0.14435116332528888,-0.444790462115382,-0.13253201512103477,0.24054849885365126,0.9402747291485484,9
F,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1,8,1,0,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(0.0934, 0.171]","(0.0005, 0.13]","(0.999, 8.0]",-1.0523799998124324,-0.9061472731770569,-0.7149434470658038,-0.9851942273989721,-0.9986389962420215,-0.7633885195113034,-1.0128586497101826,-0.6125022526851688,9
F,0.595,0.475,0.17,1.247,0.48,0.225,0.425,20,1,0,0,"(0.545, 0.615]","(0.425, 0.48]","(0.165, 1.13]","(1.153, 2.826]","(0.336, 0.502]","(0.171, 0.253]","(0.329, 1.005]","(11.0, 29.0]",0.5744176595072801,0.6592351227498564,0.7068913276264143,0.8327349123395357,0.5238838971668375,0.38486108919904155,1.3148974833369371,3.1141625037157525,9
M,0.57,0.48,0.175,1.185,0.474,0.261,0.38,11,0,0,1,"(0.545, 0.615]","(0.425, 0.48]","(0.165, 1.13]","(1.153, 2.826]","(0.336, 0.502]","(0.253, 0.76]","(0.329, 1.005]","(9.0, 11.0]",0.36585385703039364,0.7097313290700794,0.8253775588507651,0.7066592896731066,0.4969762760756647,0.711635681401195,0.9925927879919514,0.3191639364150615,9
F,0.605,0.45,0.195,1.098,0.481,0.2895,0.315,13,1,0,0,"(0.545, 0.615]","(0.425, 0.48]","(0.165, 1.13]","(0.8, 1.153]","(0.336, 0.502]","(0.253, 0.76]","(0.234, 0.329]","(11.0, 29.0]",0.6578431804980347,0.4067540911487416,1.2993224837481714,0.5297467223831177,0.5283685006820329,0.970332233561233,0.5270415613825273,0.9402747291485484,9
F,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,15,1,0,0,"(0.545, 0.615]","(0.425, 0.48]","(0.14, 0.165]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.234, 0.329]","(11.0, 29.0]",0.6161304200026574,0.6592351227498564,0.2329464027290079,0.34571698284583025,0.35571126534700775,0.34855280117658,0.2763601316697608,1.5613855218820354,9
