Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings,F,I,M,Length_discretized,Diameter_discretized,Height_discretized,Whole weight_discretized,Shucked weight_discretized,Viscera weight_discretized,Shell weight_discretized,Rings_discretized,Length_z_score,Diameter_z_score,Height_z_score,Whole weight_z_score,Shucked weight_z_score,Viscera weight_z_score,Shell weight_z_score,Rings_z_score,prediction
0.365,0.295,0.08,0.2555,0.097,0.043,0.1,7,0,0,1,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.3244776830269316,-1.1392628670662712,-1.5172925248020592,-1.1669972111184794,-1.1752772632201656,-1.2539997473606985,-0.9974303912880623,-0.916801183533873,9
0.45,0.32,0.1,0.381,0.1705,0.075,0.115,9,0,0,1,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(8.0, 9.0]",-0.6175912203605569,-0.8873709263922843,-1.0068072903913625,-0.9126795335114916,-0.8481516750351278,-0.9638543003833027,-0.8899276224354454,-0.2930367881835652,9
0.355,0.28,0.095,0.2455,0.0955,0.062,0.075,11,0,0,1,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(9.0, 11.0]",-1.4076407962817992,-1.2903980314706627,-1.1344285989940368,-1.1872615678999128,-1.181953295632105,-1.0817258882178697,-1.1766016727090907,0.3307276071667426,9
0.38,0.275,0.1,0.2255,0.08,0.049,0.085,10,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(9.0, 11.0]",-1.19973301314463,-1.3407764196054601,-1.0068072903913625,-1.227790281462779,-1.2509389638888138,-1.1995974760524366,-1.1049331601406793,0.018845409491588694,9
0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,12,1,0,0,"(0.545, 0.615]","(0.425, 0.48]","(0.14, 0.165]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.234, 0.329]","(11.0, 29.0]",0.33878458207041967,0.32171038884285175,0.39702710423805243,0.21908479273155734,0.29567521154384757,0.29646498492476114,0.22093432237493027,0.6426098048418964,9
0.55,0.415,0.135,0.7635,0.318,0.21,0.2,9,1,0,0,"(0.545, 0.615]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.171, 0.253]","(0.13, 0.234]","(8.0, 9.0]",0.2140399121881191,0.06981844816886482,-0.11345813017264376,-0.13756788662166855,-0.1916751545277392,0.2601968040525866,-0.2807452656039491,-0.2930367881835652,9
0.615,0.48,0.165,1.1615,0.513,0.301,0.305,10,1,0,0,"(0.545, 0.615]","(0.425, 0.48]","(0.14, 0.165]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.234, 0.329]","(9.0, 11.0]",0.754600148344758,0.7247374939212302,0.6522697214434009,0.6689535132793762,0.6762090590244018,1.0852979188945564,0.4717741163643697,0.018845409491588694,9
0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,11,1,0,0,"(0.545, 0.615]","(0.425, 0.48]","(0.115, 0.14]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.234, 0.329]","(9.0, 11.0]",0.29720302544298677,0.32171038884285175,0.014163178430030454,0.1967940002719807,0.09539423918566126,0.06072180925562696,0.43593986008016405,0.3307276071667426,9
0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,11,1,0,0,"(0.545, 0.615]","(0.425, 0.48]","(0.165, 1.13]","(0.8, 1.153]","(0.336, 0.502]","(0.253, 0.76]","(0.234, 0.329]","(9.0, 11.0]",0.46352925195272116,0.4224671651124465,1.162754955854097,0.33256519070758384,0.14880249848117766,0.8223536075712916,0.32843709122754694,0.3307276071667426,9
0.59,0.445,0.14,0.931,0.356,0.234,0.28,12,0,0,1,"(0.545, 0.615]","(0.425, 0.48]","(0.115, 0.14]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.234, 0.329]","(11.0, 29.0]",0.5466923652075888,0.3720887769776491,0.014163178430030454,0.20186008946733916,-0.022549000091937475,0.4778058892856338,0.29260283494334166,0.6426098048418964,9
0.575,0.425,0.14,0.8635,0.393,0.227,0.2,11,0,0,1,"(0.545, 0.615]","(0.35, 0.425]","(0.115, 0.14]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.13, 0.234]","(9.0, 11.0]",0.4219476953252873,0.17057522443845957,0.014163178430030454,0.06507568119266448,0.14212646606923812,0.4143365727593284,-0.2807452656039491,0.3307276071667426,9
0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,10,0,0,1,"(0.545, 0.615]","(0.425, 0.48]","(0.14, 0.165]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.329, 1.005]","(9.0, 11.0]",0.46352925195272116,0.6239807176516354,0.6522697214434009,0.3366180620638705,0.1443518102065513,0.5503422510299826,0.6509453977853982,0.018845409491588694,9
0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,15,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.14, 0.165]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(11.0, 29.0]",1.2951603845013977,1.5307917040779884,0.6522697214434009,1.6365765495928157,1.0878977244273405,0.8994234919246624,1.5826360611747454,1.5782563978673583,9
0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,18,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.14, 0.165]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(11.0, 29.0]",1.170415714619096,1.1781429871344067,0.6522697214434009,1.026619410471674,0.8475605575975166,1.5975859737140212,0.7942824229222206,2.51390299089282,9
0.68,0.55,0.175,1.798,0.815,0.3925,0.455,19,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(11.0, 29.0]",1.2951603845013977,1.4300349278083935,0.9075123386487486,1.958779822417605,2.0203169179615634,1.9149325563455484,1.5468018048905399,2.825785188567974,9
0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,13,1,0,0,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.253, 0.76]","(0.329, 1.005]","(11.0, 29.0]",1.5030681676385658,1.4300349278083935,1.5456188816621197,1.7794402649019203,1.2102916519795652,2.0872064154883767,1.7976415988799792,0.9544920025170504,9
0.465,0.355,0.105,0.4795,0.227,0.124,0.125,8,0,0,1,"(0.45, 0.545]","(0.35, 0.425]","(-0.001, 0.115]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.0005, 0.13]","(0.999, 8.0]",-0.49284655047825543,-0.5347222094487032,-0.8791859817886888,-0.7130756192143738,-0.5966877875187383,-0.519569084699165,-0.8182591098670341,-0.6049189858587191,9
0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,8,1,0,0,"(0.074, 0.45]","(0.35, 0.425]","(-0.001, 0.115]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(0.999, 8.0]",-0.6175912203605569,-0.5347222094487032,-0.8791859817886888,-0.6259388850542107,-0.5521809047724747,-0.5875719238344921,-0.6749220847302115,-0.6049189858587191,9
0.355,0.29,0.09,0.3275,0.134,0.086,0.09,9,0,0,1,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(8.0, 9.0]",-1.4076407962817992,-1.1896412552010687,-1.262049907596711,-1.0210938422921596,-1.01060179705899,-0.8641168029848227,-1.0690989038564738,-0.2930367881835652,9
0.45,0.335,0.105,0.425,0.1865,0.091,0.115,9,1,0,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.186, 0.336]","(-0.0005, 0.0934]","(0.0005, 0.13]","(8.0, 9.0]",-0.6175912203605569,-0.7362357619878922,-0.8791859817886888,-0.8235163636731851,-0.7769406626411061,-0.8187815768946046,-0.8899276224354454,-0.2930367881835652,9
0.55,0.425,0.135,0.8515,0.362,0.196,0.27,14,1,0,0,"(0.545, 0.615]","(0.35, 0.425]","(0.115, 0.14]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.234, 0.329]","(11.0, 29.0]",0.2140399121881191,0.17057522443845957,-0.11345813017264376,0.040758453054944514,0.0041551295558207284,0.13325817099997603,0.22093432237493027,1.2663742001922043,9
0.205,0.15,0.055,0.042,0.0255,0.015,0.012,5,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-2.655087495104813,-2.6002361229753936,-2.15539906781543,-1.5996412284020798,-1.4935014748559505,-1.5078770134659203,-1.628113301890082,-1.5405655788841808,9
0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,4,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-2.6135059384773793,-2.6002361229753936,-2.283020376418104,-1.5996412284020798,-1.5291069810529614,-1.530544626511029,-1.6066127481195587,-1.8524477765593348,9
0.39,0.295,0.095,0.203,0.0875,0.045,0.075,7,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.1165698998897624,-1.1392628670662712,-1.1344285989940368,-1.2733850842210042,-1.217558801829116,-1.2358656569246111,-1.1766016727090907,-0.916801183533873,9
0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,6,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.6571301360464017,-1.6430467484142444,-1.7725351420074074,-1.3584953827030237,-1.2709670611246324,-1.412673038676462,-1.391607210414325,-1.228683381209027,9
0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,9,1,0,0,"(0.45, 0.545]","(0.35, 0.425]","(0.14, 0.165]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.234, 0.329]","(8.0, 9.0]",0.006132129050949989,0.17057522443845957,0.5246484128407266,0.00833548220465123,-0.02922503250387703,0.29193146231573935,0.041763040953901785,-0.2930367881835652,9
0.52,0.41,0.12,0.595,0.2385,0.111,0.19,8,0,1,0,"(0.45, 0.545]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(0.999, 8.0]",-0.03544942757648384,0.019440060034067442,-0.4963220559806664,-0.4790222983888194,-0.5455048723605351,-0.6374406725337322,-0.35241377817236047,-0.6049189858587191,9
0.4,0.32,0.095,0.303,0.1335,0.06,0.1,7,0,0,1,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.0334067866348948,-0.8873709263922843,-1.1344285989940368,-1.0707415164066711,-1.0128271411963032,-1.099859978653957,-0.9974303912880623,-0.916801183533873,9
0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10,1,0,0,"(0.45, 0.545]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(9.0, 11.0]",-0.4512649938508221,-0.4843438213139058,-0.4963220559806664,-0.7171284905706604,-0.6701241440500734,-0.6873094212329721,-0.6390878284460059,0.018845409491588694,9
0.405,0.31,0.1,0.385,0.173,0.0915,0.11,7,0,0,1,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-0.9918252300074609,-0.9881277026618791,-1.0068072903913625,-0.9045737907989183,-0.837024954348562,-0.8142480542855828,-0.9257618787196512,-0.916801183533873,9
0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,8,1,0,0,"(0.45, 0.545]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.171, 0.253]","(0.13, 0.234]","(0.999, 8.0]",-0.20177565408621914,-0.08131671623552676,0.014163178430030454,-0.344264325792288,-0.4653924834172605,-0.05261625596991845,-0.1374082404671265,-0.6049189858587191,9
0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,8,0,0,1,"(0.074, 0.45]","(0.054, 0.35]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(0.999, 8.0]",-0.6591727769879907,-0.5851005975835005,-0.4963220559806664,-0.7880537393056769,-0.752461877130661,-0.7779798734134082,-0.7465905972986226,-0.6049189858587191,9
0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,8,0,0,1,"(0.45, 0.545]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(0.999, 8.0]",-0.4512649938508221,-0.2324518806399189,-0.11345813017264376,-0.4901676946186076,-0.3763787179247332,-0.5558372655713395,-0.49575080330918303,-0.6049189858587191,9
0.245,0.19,0.06,0.086,0.042,0.014,0.025,4,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-2.3224350420853423,-2.197209017897015,-2.0277777592127557,-1.5104780585637736,-1.4200651183246156,-1.5169440586839635,-1.5349442355511473,-1.8524477765593348,9
0.505,0.4,0.125,0.583,0.246,0.13,0.175,7,1,0,0,"(0.45, 0.545]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(0.999, 8.0]",-0.16019409745878532,-0.08131671623552676,-0.3687007473779922,-0.5033395265265393,-0.5121247103008374,-0.4651668133909032,-0.45991654702497753,-0.916801183533873,9
0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7,0,0,1,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(0.0934, 0.171]","(0.13, 0.234]","(0.999, 8.0]",-0.6175912203605569,-0.635478985718298,-0.8791859817886888,-0.8508732453281201,-0.8058701364261774,-0.6238401047066666,-0.7465905972986226,-0.916801183533873,9
0.505,0.405,0.11,0.625,0.305,0.16,0.175,9,0,0,1,"(0.45, 0.545]","(0.35, 0.425]","(-0.001, 0.115]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(8.0, 9.0]",-0.16019409745878532,-0.03093832810072938,-0.7515646731860145,-0.41822922804451945,-0.24953410209788196,-0.1931554568495945,-0.45991654702497753,-0.2930367881835652,9
0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,7,0,0,1,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-0.8254990034977261,-0.8369925382574869,-1.1344285989940368,-0.9177456227068499,-0.8481516750351278,-0.9185190742930844,-0.9974303912880623,-0.916801183533873,9
0.475,0.355,0.12,0.48,0.234,0.1015,0.135,8,0,0,1,"(0.45, 0.545]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(0.999, 8.0]",-0.40968343722338824,-0.5347222094487032,-0.4963220559806664,-0.7120624013753021,-0.5655329695963537,-0.7235776021051465,-0.7465905972986226,-0.6049189858587191,9
0.565,0.44,0.16,0.915,0.354,0.1935,0.32,12,1,0,0,"(0.545, 0.615]","(0.425, 0.48]","(0.14, 0.165]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.234, 0.329]","(11.0, 29.0]",0.33878458207041967,0.32171038884285175,0.5246484128407266,0.16943711861704588,-0.031450376641190214,0.11059055795486694,0.5792768852169868,0.6426098048418964,9
0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,10,1,0,0,"(0.45, 0.545]","(0.35, 0.425]","(0.115, 0.14]","(0.442, 0.8]","(0.186, 0.336]","(0.0934, 0.171]","(0.13, 0.234]","(9.0, 11.0]",-0.40968343722338824,-0.18207349250512153,-0.4963220559806664,-0.6097273996290641,-0.6567720792261942,-0.5966389690525358,-0.49575080330918303,0.018845409491588694,9
0.31,0.235,0.07,0.151,0.063,0.0405,0.045,6,0,1,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(-0.0005, 0.0934]","(0.0005, 0.13]","(0.999, 8.0]",-1.781874805928703,-1.7438035246838393,-1.7725351420074074,-1.378759739484457,-1.326600664557462,-1.2766673604058076,-1.391607210414325,-1.228683381209027,9
0.4,0.32,0.11,0.353,0.1405,0.0985,0.1,8,1,0,0,"(0.074, 0.45]","(0.054, 0.35]","(-0.001, 0.115]","(0.001, 0.442]","(0.0, 0.186]","(0.0934, 0.171]","(0.0005, 0.13]","(0.999, 8.0]",-1.0334067866348948,-0.8873709263922843,-0.7515646731860145,-0.9694197324995049,-0.9816723232739187,-0.7507787377592774,-0.9974303912880623,-0.6049189858587191,9
0.57,0.48,0.175,1.185,0.474,0.261,0.38,11,0,0,1,"(0.545, 0.615]","(0.425, 0.48]","(0.165, 1.13]","(1.153, 2.826]","(0.336, 0.502]","(0.253, 0.76]","(0.329, 1.005]","(9.0, 11.0]",0.3803661386978535,0.7247374939212302,0.9075123386487486,0.7165747517157446,0.5026322163139734,0.7226161101728116,1.0092879606274547,0.3307276071667426,9
0.605,0.45,0.195,1.098,0.481,0.2895,0.315,13,1,0,0,"(0.545, 0.615]","(0.425, 0.48]","(0.165, 1.13]","(0.8, 1.153]","(0.336, 0.502]","(0.253, 0.76]","(0.234, 0.329]","(11.0, 29.0]",0.6714370350898903,0.4224671651124465,1.4179975730594454,0.5402748477172751,0.533787034236358,0.9810268988870546,0.5434426289327811,0.9544920025170504,9
0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,15,1,0,0,"(0.545, 0.615]","(0.425, 0.48]","(0.14, 0.165]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.234, 0.329]","(11.0, 29.0]",0.6298554784624565,0.6743591057864329,0.2694057956353782,0.3568824188453038,0.36243553566324305,0.3599343014510666,0.29260283494334166,1.5782563978673583,9
0.595,0.475,0.14,0.944,0.3625,0.189,0.315,9,0,0,1,"(0.545, 0.615]","(0.425, 0.48]","(0.115, 0.14]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.234, 0.329]","(8.0, 9.0]",0.5882739218350226,0.6743591057864329,0.014163178430030454,0.22820375328320222,0.0063804736931339125,0.06978885447367059,0.5434426289327811,-0.2930367881835652,9
0.6,0.47,0.15,0.922,0.363,0.194,0.305,10,1,0,0,"(0.545, 0.615]","(0.425, 0.48]","(0.14, 0.165]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.234, 0.329]","(9.0, 11.0]",0.6298554784624565,0.6239807176516354,0.2694057956353782,0.18362216836404918,0.008605817830447096,0.11512408056388874,0.4717741163643697,0.018845409491588694,9
0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345,14,1,0,0,"(0.545, 0.615]","(0.425, 0.48]","(0.165, 1.13]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.329, 1.005]","(11.0, 29.0]",0.754600148344758,0.6743591057864329,0.7798910300460751,0.5493938082689199,0.48260411907815476,0.491406457112699,0.7584481666380148,1.2663742001922043,9
0.575,0.445,0.14,0.941,0.3845,0.252,0.285,9,1,0,0,"(0.545, 0.615]","(0.425, 0.48]","(0.115, 0.14]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.234, 0.329]","(8.0, 9.0]",0.4219476953252873,0.3720887769776491,0.014163178430030454,0.22212444624877223,0.104295615734914,0.6410127032104189,0.32843709122754694,-0.2930367881835652,9
0.62,0.51,0.175,1.615,0.5105,0.192,0.675,12,0,0,1,"(0.615, 0.815]","(0.48, 0.65]","(0.165, 1.13]","(1.153, 2.826]","(0.502, 1.488]","(0.171, 0.253]","(0.329, 1.005]","(11.0, 29.0]",0.7961817049721918,1.0270078227300146,0.9075123386487486,1.5879420933173758,0.6650823383378356,0.09698999012780149,3.1235090813955892,0.6426098048418964,9
0.52,0.425,0.165,0.9885,0.396,0.225,0.32,16,1,0,0,"(0.45, 0.545]","(0.35, 0.425]","(0.14, 0.165]","(0.8, 1.153]","(0.336, 0.502]","(0.171, 0.253]","(0.234, 0.329]","(11.0, 29.0]",-0.03544942757648384,0.17057522443845957,0.6522697214434009,0.31838014096058054,0.15547853089311722,0.3962024823232411,0.5792768852169868,1.890138595542512,9
